Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
The Six Morning Habits of High Performers,"Learn the six habits of the most successful people in history. Hal Elrod describes how they changed his life—and how they can change yours, too—in this course adapted from the podcast <i>How to Be Awesome at Your Job</i>. Elrod is one of the highest rated keynote speakers in America, creator of one of the fastest growing and most engaged online communities in existence, and author of one of the bestselling books in the world, <i>The Miracle Morning</i>. Here he describes approaches for silence that generate new ideas, explains how NOT to do affirmations, and reveals the impact of tiny amounts of exercise. Plus, learn how to do simple practices, like reading and scribing, to introspect and become a better version of yourself.<br><br>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2021-01-12 15:03 UTC,N/A,false,N/A,
"Generative AI Skills for Creative Content: Opportunities, Issues, and Ethics","<p>Generative AI brings the power of machine learning and artificial intelligence to everyone, making it incredibly easy to create media of all kinds—text, images, video, audio, and  more. But for creative professionals, this power also brings important content considerations and ethical issues. In this course, Ashley Kennedy explores the benefits and issues behind different generative AI tools—unearthing the potential, but also investigating the bigger picture and ramifications of this incredible technology. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/build-your-generative-ai-productivity-skills-with-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,2025-10-12 20:18 UTC,N/A,true,N/A,
Ethics in the Age of Generative AI,"<p>The amazing potential and opportunity of Generative AI has also brought ethical concerns. How can you address these concerns effectively as you deploy tools and products powered by generative AI? In this course, expert Vilas Dhar equips designers and decision makers to better understand and act on the emerging ethical risks and considerations of generative artificial intelligence. Get a solid introduction to the ethical concerns around generative AI, then learn how to use a framework of ethical analysis to address these concerns. Plus, explore ways you can prepare your organization to address ethics in AI across all stakeholders from technology to C-Suite leaders.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-05-18 20:18 UTC,N/A,true,N/A,
Logo Design: Creating Brand Extensions,"Brand extensions for logo design refer to the use of an existing brand’s logo and visual identity to launch new products or services in a different category. This can help to leverage the brand’s existing equity and reputation to introduce new offerings to the market. For example, a company known for its athletic wear may use its logo and visual identity to launch a line of sports equipment or nutritional supplements. In this course, designer and illustrator Von Glitschka shows you how to create a cohesive brand experience for consumers and increase the brand’s overall visibility and recognition. In addition to guiding you through the process, Von also highlights specifics like setting up final deliverables and a brand style guide.",Course,2025-11-03 14:46 UTC,N/A,true,N/A,
Designing Agentic AI Products (No Code Required),"Agentic AI automates AI workflows using the reasoning power of large language models. Are you ready to go past chatbots to get agents to work for you? In this course, Sudha Jamthe takes you through the foundational knowledge of agentic AI and teaches you how to design an autonomous AI solution to automate your marketing or enterprise business workflow with no-code agentic platforms and tools.",Course,2025-06-05 11:45 UTC,N/A,false,N/A,
Managing Up as an Employee,"Establishing a good working relationship with your manager is one of the most effective ways to accelerate success in your organization. In this course, get strategies for managing up, whether you're collaborating with your boss in a remote environment or a physical office. Join Mary Abbajay—the best-selling author of <i>Managing Up: How to Move Up, Win at Work, and Succeed with Any Type of Boss</i>—as she provides practical strategies for working with a range of different personalities. Because working well with others requires us to understand how people operate, Mary steps through how to recognize (and accept) the different types of bosses you may encounter. Learn how to manage the extroverted (or introverted) boss, the micromanager, the workaholic boss, and more. Plus, discover what you can do to combat the ill effects of a toxic boss. Whether the person above you is a middle manager or a top executive, this course can provide you with the tools you need to set yourself up for success.",Course,2021-01-14 19:57 UTC,N/A,false,N/A,
Strategic Agility for Organizational Leaders,"In an era of rapid technological change, traditional change management approaches are no longer sufficient. Join instructor Gary Bolles in this course as he equips organizational leaders with the strategic mindset, skillset, and toolset required to anticipate and navigate disruptions, while moving the organization forward.",Course,2026-01-07 20:53 UTC,N/A,false,N/A,
How to Generate Marketing Leads with AI,"<p>As the use of generative AI becomes more widespread, marketers are benefitting from combining marketing strategies with these tools, leading to innovative techniques for lead generation. In this course, social selling expert and coach Lorenzo Johnson guides you on this transformative journey. Explore AI's role in lead generation, gaining profound insights into essential AI technologies. Navigate the realm of AI-driven customer segmentation, harnessing its power to identify and target specific audiences effectively. Plus, discover how to integrate AI and personalization, enabling precise lead nurturing strategies. After completing this course, you'll have advanced skills to harness AI's potential, revolutionizing your approach to lead generation so you can enhance your marketing abilities.</p>
<p>This course was created by <a href=""https://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.</p>                  <img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" alt=""Company logo for Madecraft; the letter M configured as part of a printing press"" width=""20%"" height=""20%"" /><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/generative-ai-for-sales-with-microsoft-365-copilot-professional-certificate"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-11-26 12:06 UTC,N/A,true,N/A,
Hands-On AI: Implementing Agentic Systems,"Agentic AI shifts the focus of programming from responding to user input to actively pursuing defined goals. While the programming languages and frameworks may be familiar, the structure of the programs and the infrastructure they use are very different. In this course, software developer and project manager Keith Casey explains and demonstrates these changes, exploring the architectural shifts before moving into three concrete projects, each with challenges for you to complete. The course concludes with a look at the future and the difficult problems—like privacy—that developers will need to figure out.",Course,2025-11-20 20:42 UTC,N/A,true,N/A,
How to Think Strategically,"What is strategy, and how can you employ it more effectively in your daily life? In this course, LinkedIn’s own COO, Daniel Shapero, deep dives into his favorite subject and pulls in insights from other leaders. Learn Daniel’s definition and first rule of strategy and find out how to “size the mountain” that you want to climb. Explore the basis of competition and capabilities and discover the benefits of scale.  Discover the benefits and potential pitfalls of disruption, then go over business model architecture and value creation patterns. With the expert insights Daniel presents, get ready to think more strategically every day.",Course,2023-05-16 09:02 UTC,N/A,false,N/A,
Figma for UX Design (2018),"Discover how to use Figma, an online UX design and collaboration tool, for projects you create or projects distributed across a team. This course begins by explaining what Figma is and how to get a Figma project started. Next, discover how to add content to your design project by working with frames, creating and editing shapes, drawing, adding and formatting text, and more. Plus, learn how to create a prototype, share designs using the collaboration features in Figma, and generate assets for development.",Course,2021-03-01 12:58 UTC,N/A,false,N/A,
The Art of Creative Disruption: Master Lateral Thinking in the Age of AI,"<p>In this course, learn how to analyze lateral thinking techniques by identifying key strategies such as challenging assumptions and shifting perspectives, and evaluate their impact on creativity and problem-solving in real-world contexts.</p><p>
Instructor Paul Sloane shows you how to apply questioning techniques, including ""what if"" and ""why,"" to assess organizational challenges and create innovative solutions that foster lateral thinking and drive continuous curiosity.</p><p>
Plus, learn to evaluate the role of generative AI in enhancing lateral thinking by applying AI-driven tools to generate unconventional ideas and challenge traditional problem-solving approaches.
</p><p>This course was created by ARQ LONDON. We are pleased to host this training in our library.</p>",Course,2025-12-09 14:02 UTC,N/A,false,N/A,
Pitching Yourself for Opportunity,"<p>Every conversation presents an opportunity to make a great impression. In this course, Jodi Glickman, CEO and Founder of GreatOnTheJob.com, guides you through how to craft a compelling pitch with thought and intention so you can be persuasive, memorable, and able to reach your goals. Jodi shares the fundamental framework of leading with your destination, crafting your backstory, and then connecting the dots.  She covers pitch basics (it’s a dialogue, not a monologue!), cautions against mistakes to avoid, and shares why no two pitches are ever the same. Plus, Jodi offers behind-the-scenes coaching on real-life examples of how to try out, practice, and improve your pitch.</p>",Course,2024-01-02 21:26 UTC,N/A,false,N/A,
React: Working with Loops,"One of the key features of React is the ability to create dynamic and interactive components, and loops are a critical component, allowing you to repeat a set of instructions multiple times. Looping can make your code more concise and easier to read, especially when you're working with large data sets. It allows you to iterate over a collection of data and render each item in the collection, which can save you from having to write a lot of individual components by hand. By using loops, you can easily create components that can update in real-time based on changes in the underlying data, which can make your applications more responsive and engaging for users. Join instructor Shalom Mathew to learn all you need to know about loops, including the basics of how to create a loop, how to use conditional rendering to control what content is displayed, and more advanced techniques like using loops with hooks and handling complex data structures.",Course,2025-09-21 08:21 UTC,N/A,false,N/A,
Build with AI: Creating AI Agents with OpenAI's Responses API,"Learn to build intelligent business automation tools by creating your own agent. In this hands-on course, senior data engineer and AI engineer Vlad Gheorghe gives you hands-on experience through building a sales support agent. Use the latest Responses API and o3 model from OpenAI to build an AI agent that automatically identifies prospects, researches their backgrounds, calculates optimal contact timing, and generates personalized sales briefs. Starting with OpenAI Playground, you will learn how to build powerful AI agents without complex programming. When you complete this course, you'll have a working automation tool that demonstrates real-world AI integration skills.",Course,2025-10-25 06:05 UTC,N/A,true,N/A,
Instructional Design Essentials: Models of ID,"Instructional design (ID) models are frameworks that help you create quality training. In this course, instructional design expert Dr. Joe Pulichino explores some of the most salient models of ID, illuminating the connections between learning and ID. Joe dives into common models such as ADDIE and SAM, and provides examples of when each model might be most appropriate for producing engaging and effective instructional materials. Plus, he shares how key learning theories can guide your ID efforts, as well as how rapid prototyping can help you boost your efficiency as you design your training.",Course,2024-09-13 14:58 UTC,2022-12-21 11:22 UTC,false,N/A,
Evil by Design: Persuasion in UX,"Design is communication. But a thoughtfully designed UI can do more than communicate options. It can also persuade users, nudging them down whatever path the designer had in mind. This persuasive power can be used for both good and nefarious purposes. In this course, based on his book <i>Evil by Design</i>, Chris Nodder discusses the ethical ramifications of persuasion in user experience design. Chris delves into the science of human behavior, the history of persuasive design, and how design can appeal to emotions. He explains different types of persuasive design and explores the limits of acceptable persuasion. Chris goes over several methods for influencing behavior patterns and shows you how to harness illogical reactions, create credibility, gain user commitment, and much more. Plus, Chris digs into how dark patterns differ from persuasive design and how to use persuasive design responsibly.",Course,2022-05-06 07:23 UTC,N/A,false,N/A,
Copilot for Project Management: Automate Stakeholder Communications,"If you’re a project or portfolio manager, AI-powered tools like Microsoft Copilot can help you automate a wide variety of previously tedious processes and workflows. Follow along with Microsoft MVP and Microsoft Certified Trainer Heather Severino as she guides you through a step-by-step overview of how to build an AI-generated project communications plan using Microsoft Copilot. From Teams and Outlook to PowerPoint, Forms, Whiteboard, and Excel, this course equips you with the skills you need to leverage Copilot across the entire Microsoft 365 suite.",Course,2025-11-01 11:28 UTC,N/A,true,N/A,
Nano Tips for Finding Happiness through Empathy with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.
<br><br>Happiness is a mindset that begins with empathy for yourself and others - and it is core to fulfillment and success. Join leadership strategist and award-winning peak performance educator Shadé Zahrai as she shares 10 nano tips for elevating your empathy to enhance relationships, foster psychological safety, and create a happy life and career. Shadé explains three types of empathy, offers simple techniques on how to navigate conflict, shares actionable tools to empower others and yourself, and more.",Course,2022-12-20 08:51 UTC,N/A,false,N/A,
Measuring Learning Effectiveness,"Are you looking for a way to assess the ROI for your in-house learning programs? Discover the ins and outs of how to evaluate whether learning objectives are being met in your organization. In this course, Jeff Toister explores several popular models for determining the effectiveness of a class or training course. He then gives you a framework that you can put into practice when you want to apply a particular model.<br><br>Learn about creating an evaluation strategy, collecting assessment data, and making recommendations for improvements. The Kirkpatrick Model, the Phillips ROI Methodology, and Brinkerhoff's Success Case Method are discussed in depth, as well as alternative approaches that you can use such as predictive analytics. These tools give you the data to validate your current training strategy or recommend data-driven improvements. That way, you can ensure your training programs are tailored to how your participants are actually learning.<br><br>",Course,N/A,N/A,true,N/A,
Accelerating Your Career with Personal Branding,"When it comes to accelerating your career, you can’t ignore the importance of your personal brand. Your brand is your voice, your reputation, and a key part of your professional persona. In this course, explore how to use your personal brand to boost your career with award-winning leadership strategist Shadé Zahrai.<br><br>Learn how to get started crafting a standout brand of your own, with practical advice to help you grow, gain recognition, and open new professional doors. Find out how to create compelling and unforgettable personal content, develop authentic work relationships, and elevate your influence along the way. By the end of this course, you’ll be better poised to manage your brand online and cultivate a lasting impression on the job.",Course,2022-12-21 09:02 UTC,N/A,false,N/A,
The Six Mind Shifts for Thriving at Work,"<p>When work feels like a massive burden, it can seem like quitting is your only option. But it’s possible to turn unpleasant situations around so that they enrich you. In this audio-only course, Aliza Knox shares six critical, easy-to-use mind shifts to help you turn around situations to thrive at work and life.</p><p>Aliza Knox spent over four decades leading in firms like Google and Twitter. She is the author of <i>Don't Quit Your Day Job: The 6 Mindshifts You Need to Rise and Thrive at Work</i>.</p><p>Aliza offers fresh perspectives to help you build your stamina, forge connections, stay energized, and give everyone a voice. You’ll learn how to get feedback that genuinely helps you, and stay on your manager’s radar—wherever you’re located. Finally, Aliza shows you how to be bold and open to moments of serendipity so you can chase new opportunities wherever they arise.</p><p>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.</p>
<img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%"" />",Course,2025-11-27 08:17 UTC,N/A,false,N/A,
Learning Infographic Design,"<p>To create a truly successful infographic, you must understand the power of visual communication. Properly executed visuals can connect with an audience faster than any other form of communication. In this course, Amy Balliett, CEO and Founder of Killer Visual Strategies, shows you how to create engaging and successful infographics that stand out from the crowd. Amy shows you how to dissect a bad infographic, to learn what not to do. She shows you how visual communication shines through, even in infographics that aren’t in your native language, then goes over how to leverage visual cues and hooks. Amy introduces the five Ws that you need to identify when designing your infographic and explains why it’s so important to research before design even starts. She walks you through each step of wireframing your infographic and concludes with putting the full design together in Adobe Illustrator.
</p><p>Note: This course was created by Killer Visual Strategies, a Material Company. We are pleased to host this training in our library.</p>",Course,2021-09-24 18:57 UTC,N/A,false,N/A,
Apple Watch Tips and Tricks,"Apple Watch continues to evolve. In this course, Garrick Chow explores the features and capabilities of the latest Apple Watch OS, including Siri, the updated interface, and bundled app capabilities. Learn how to manage your Watch, including the haptic alert system, theater mode, and more. Discover ways you can communicate using your Apple Watch, as well as ways to view and work with apps. Get useful tips on using Siri, and learn about the variety of health and safety features that your Watch offers. Plus, find out how to take a screenshot, find your iPhone, force quit apps, and more.",Course,2024-09-19 04:06 UTC,N/A,false,N/A,
Adobe Animate CC New Features,"Adobe Animate is the focused animation software that takes all the best tools from Flash Professional and bundles them with the Creative Cloud. In this course, learn about the features and enhancements in the latest releases of Adobe Animate by following along with expert Joseph Labrecque.<br><br>Explore the modern user interface, advanced Onion Skin settings, and GPU-accelerated vector brushes such as Fluid Brush. Learn about enhanced animation tooling, including Frame Picker enhancements and ease presets for classic and shape tweens. Get the latest on interactivity enhancements, including global JavaScript declarations, the ability to include references to external JavaScript libraries, and new properties for HTML5 Canvas video components.",Course,2025-09-03 08:25 UTC,N/A,false,N/A,
