Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5913228,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5913228,Course,2024-09-15 13:07 UTC,N/A,false,N/A,
Photoshop 2024: New AI Features,"Photoshop 2024 brings the power of generative AI to Photoshop, with features like generative fill and generative expand. In this course, instructor Tony Harmer explores these new features, as well as other productivity-boosting enhancements, such as the task bar. After going over the contextual task bar, Tony dives into AI topics like consent for generative content, the difference between generative AI and content-aware features, creating replacement content, and more. He steps through how to create a project from scratch, including pro tips on intensity. Plus, Tony explains generative AI and credits within Adobe Creative Cloud as of September 2023.",Course,2025-11-12 10:56 UTC,N/A,false,N/A,
Building a Project with the ChatGPT API,"<p>Generative models produced by OpenAPI, like ChatGPT, have rapidly advanced AI development, particularly the ability to incorporate AI into applications. In this hands-on course, instructor Kesha Williams takes a deep dive into the world of OpenAI's powerful language models, equipping you with the technical know-how you need to leverage their full potential and create innovative AI-driven solutions.</p><p>Explore various features including text summarization and generation, conversational agents, chatbot development, image generation and manipulation, and more. By the end of this course, you'll have a solid understanding of the OpenAI API, its capabilities, and associated pricing models to start building scalable cost-effective solutions. Along the way, Kesha shows you how to integrate AI into your everyday projects, utilizing the power of OpenAI to create more intelligent, personalized experiences.</p>",Course,N/A,N/A,true,N/A,
Using AI in the UX Design Process,"<p>If you’re a UX designer or researcher, you’re probably already wondering about the best way to adapt to the new wave of AI-powered tools and workflows. In this course, UX expert Tetiana Gulei shows you how to take a basic design and apply AI to it to streamline the design process and improve your outcomes along the way.</p><p>Learn how to use generative AI to assist in product discovery and ideation, such as analyzing user data, creating personas, storyboarding, idea generation, and more. Find out how AI can extend the visual design process when it comes to creating mood boards, generating images, and working with colors, fonts, and styles. By the end of this course, you’ll be prepared to start using cutting-edge generative AI tools to streamline your design process, from initial user research to product creation, while also contributing to long-term design strategy validation.</p>",Course,N/A,N/A,true,N/A,
Premiere Pro Essential Training (2022–2024),"<p>Video is a personal, powerful, and dynamic art form. For transforming raw footage into impactful stories, filmmakers and editors look to Adobe Premiere Pro, the industry-leading application. This course helps beginners unlock the potential of the latest edition. Instructor and filmmaker Ashley Kennedy teaches all the essentials while building a short promo video from start to finish. Ashley shows you how to import and organize your media so you can start your project off right. She covers how to edit video and audio, correct color, add titles and effects, and more. Her project-based approach lends context to each of the tools, allowing you to experience both the technical and creative sides of the editing process. If you’re looking to become competent and comfortable with the foundations of video editing, join Ashley in this course. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/essential-skills-in-adobe-premiere-pro-2024-professional-certificate"" target=""_blank"">Professional Certificate</a> from Adobe.</p>",Course,2024-02-13 06:41 UTC,N/A,false,N/A,
Data Visualization: Storytelling,"<p>We are wired for story. We crave it. Storytelling has played an integral role in our ability to make progress as a species. It should come as no surprise, then, that presenting data and information in story form maximizes the effectiveness of our communication. We can create deeper emotional responses in our audience when we present data in story form.</p><p>Join data visualization expert Bill Shander as he guides you through the process of turning ""facts and figures"" into ""story"" to engage and fulfill our human expectation for information. This course is intended for anyone who works with data and has to communicate it to others, whether a researcher, a data analyst, a consultant, a marketer, or a journalist. Bill shows you how to think about, and craft, stories from data by examining many compelling stories in detail.</p>",Course,2024-08-04 19:48 UTC,N/A,false,N/A,
Introduction to Graphic Design: Concepts,"Graphic design is a complex art that involves many different skills and understanding many concepts. In this course, Tony Harmer—designer, illustrator, and educator—covers the core concepts that you need to understand and how they relate in a design project. Learn about the four stages of the creative process. Get an introduction to the essential jargon used in typography, as well as type classifications and the basic measurements that you will use when working with type. Explore ways to pick pleasing color combinations, use color as information, and accommodate viewers with color vision deficiency (CVD). Discover the impact you can make with images and illustrations in graphic design projects, including ones created by generative AI tools. Plus, learn best practices for creating a graphic design layout. Finish up with some creativity tips to keep your ideas fresh.",Course,N/A,N/A,true,N/A,
Multimodal Prompting with Google's Project Gemini,"Explore Project Gemini, Google's transformative multimodal artificial intelligence approach. Understand how to leverage Gemini’s power in your applications for enhanced outcomes. This course covers the Nano, Pro, and Ultra models - their features, practical uses, and differences. We'll guide you through what's available now, the roadmap and upcoming releases, starting with Google Bard and extending to Google’s Developer tools released Dec 13th. Perfect for developers and businesses gearing up for multimodal platforms.",Course,2025-10-08 08:02 UTC,N/A,true,N/A,
Photoshop for UX Design,"With all the different design tools at your disposal for your UX projects, sometimes the tool you already know may be the best tool for the job. If you’ve wondered what kind of UX capabilities Photoshop has, this is the course for you. Instructor Emmanuel Henri ramps you up to speed quickly so you can integrate Photoshop into your UX design workflow. Emmanuel starts with covering the specific strengths of Photoshop for UX design and how they align with your project goals. He then shares tips for setting up a Photoshop file for UX design work. Learn how to create artboards and screens for UX projects; how to use shapes and bitmap objects to flesh out your designs; how to refine mockups into full-resolution designs (including AI-generated placeholder text); best practices for collaborating with team members and stakeholders; how to export assets for developer integration, and much more.",Course,2025-09-28 12:01 UTC,N/A,false,N/A,
Video Product Lighting Techniques,"The right lighting can powerfully alter the mood and tone of a video. When you're shooting products, knowing how to properly light your subject can help you transform the ordinary into the spectacular. In this course, Greg Pickard zooms in on product video lighting, and takes you behind the scenes on advanced lighting setups for both large and small products. He also explores budget-friendly options, and illustrates how you can pull off those same effects on your own. Review different lighting tools and learn techniques for lighting dull and matte objects, translucent or glass products, and more.",Course,2019-12-07 17:02 UTC,N/A,false,N/A,
GPT-4 Foundations: Building AI-Powered Apps,"Are you looking for a practical, simple, visual introduction to creating an AI-powered application? This course was designed for you. While GPT-4 has piqued much of the world’s attention, few people have developed the skills required to build their own AI-powered tools. Join instructor Denys Linkov to find out more about how to get started building AI-powered applications using GPT-4. In this course, Denys offers a comprehensive overview of the OpenAI playground, including the basics of large language models and prompts. Get tips for beginner, intermediate, and advanced prompting to start creating a no-code chatbot on your own. Along the way, test out your new skills in the challenge exercises provided at the end of each section of the course.",Course,2024-09-02 16:42 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2020-05-03 10:21 UTC,N/A,false,N/A,
Introduction to Prompt Engineering for Generative AI (2023),"<p>If you are a beginner looking to learn more about Natural Language Processing (NLP) capabilities or a developer wanting to get started with modern NLP APIs, this course offers a great introduction. Software developer and instructor Ronnie Sheer guides you through what large language models are and what problems they may be able to solve. Ronnie dives into text generation, starting with a warning to use text generation AI responsibly, then moving on to Chat GPT, GPT-3, and J1 with few-shot learning. He introduces you to the AI generated image landscape, then shows you how to use Dall-E and Midjourney. Plus, Ronnie goes over a couple of advanced concepts, like how to fine tune your prompts and how to interact with language models using an API.</p>",Course,N/A,N/A,true,N/A,
Management Tips,"In this series, Todd Dewett, PhD, shares the tips respected and motivated managers use to improve rapport, navigate tricky situations, build better relationships, and drive the business forward. Each installment, is two tips ranging from avoiding the dreaded micromanagement, to managing a multigenerational workforce, cultivating better listening skills, and developing an understanding of your organization's politics.",Course,2024-08-29 10:36 UTC,N/A,true,N/A,
The Future of Workplace Learning (2020),"HR leaders know that workplace learning is the difference between people—and the companies that employ them—staying relevant or becoming redundant. By providing current employees with the right tools and resources, you can bridge the skills gap, break the vicious hire-fire-hire cycle, and maintain a competent and cohesive workforce.<br><br>In this course, Amanda Nolen, advisor to global organizations on learning and education technology, helps you make L&D a real strategic partner and business driver. Find out what else to change beyond the technology, as well as how to get executive support, buy-in, and the investment you need to bring growth and transformation to your company.",Course,2020-12-04 18:49 UTC,N/A,false,N/A,
Photoshop for Designers: Type Effects,"Expand your creative mindset with type. In this installment of <i>Photoshop for Designers</i>, instructor Nigel French shows how to create a range of beautiful type treatments using efficient, nondestructive techniques. Nigel describes how to combine letters and imagery and how to illustrate ideas with type, often with just a few tweaks to the letterforms themselves. He also shares techniques for creating damaged and distressed type; adding light and smoke effects to your type; entwining letters with a vine; fashioning portraits and maps comprised entirely of type; creating nostalgic type treatments; and much more.",Course,2025-10-31 12:19 UTC,N/A,false,N/A,
Moving DEI from Intention to Impact with Ruchika Tulshyan,"You’ve probably encountered initiatives at your workplace focused on increasing inclusion. Some seem to work, some have no effect, and some even have a negative impact. What differentiates these efforts at creating inclusive environments? While they may all be created with good intentions, good intentions alone are not enough. In fact, as Ruchika Tulshyan illustrates in this course, good intentions without awareness can be the biggest barrier to creating a truly inclusive environment, because many of us believe intention alone is enough to make change. They’re not. Your intentions may be positive, but they may not be received positively. True impact requires much more effort than simply having good intentions, it takes learning and regular practice. Take this course to find out how.",Course,2023-02-05 14:13 UTC,N/A,false,N/A,
How to Handle Poor Performers,"Patience with poor performance too often becomes permission to perform poorly. Effective leaders know they need to address the problem of poor performance in their company and on their team, but the skills needed to do so don’t come naturally to most of us. In this course, former corporate executive Ron Williams shows you a roadmap for tackling the tough conversations and hard decisions that come with responding to poor performers. Ron explains how to identify and respond to poor performance, as well as exactly how to do it. He covers strategies to recognize the difference between performance and potential and to take swifter, firmer action today with team members who are coming up short. 
<br><br>
This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2023-05-29 13:02 UTC,N/A,false,N/A,
Recruiting Techniques to Reveal Transferable Skills,"When filling opening job requisitions, do you often feel constricted by searching a pool of candidates filtered by job title or by specific industries? Imagine how satisfying it would be to have access to a larger pool of talent, one that might not be on the radar of your competitors. In this course, Barbara Bruno shows you how to identify top candidates based on the skills they have that will transfer to the jobs you need to fill, regardless of their previous titles or professional experience. Barbara explains how to identify transferable skills, revise your job requisition, and how to modify your interviewing and hiring processes. By focusing on transferable skills, you can provide your company with a tremendous competitive advantage—one that will fill open requisitions faster, help candidates advance in their career, and improve engagement and retention.",Course,2024-08-31 05:27 UTC,N/A,false,N/A,
Sleep Is Your Superpower,"Sleep is mandatory. You can’t outsource it and you can’t negotiate it—and it has a powerful impact on everything you do while you’re awake. So why not build habits to optimize your sleep and live your best life? Learn how to make sleep a priority and take steps to achieve sleep wellness. The Sleep Ambassador®, Nancy Rothstein, shares tips for optimizing sleep and performing at your best in work and life. Learn how to prioritize sleep, assess your sleep, create the right sleep environment, and adopt strategies to fall asleep and stay asleep. Nancy offers concrete, practical advice based on research and science—so you can master sleep as your superpower.",Course,2022-03-24 15:59 UTC,N/A,false,N/A,
Executive Presence on Video Conference Calls,"Learn how to shine on video conference calls. Communication consultant Jessica Chen provides expert advice to look and sound confident, collected, and smart on your next conference call or video presentation. Discover how to prepare your material, how to contribute to the call, and how to incorporate engaging visuals. Get body language, posture, and wardrobe tips to make a powerful impression. Finally, learn the technical details to building a mini ""studio"" for conducting calls, including choosing a webcam, lighting yourself, and placing a microphone for quality sound. <br><br>Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,2020-12-21 08:35 UTC,N/A,false,N/A,
Blender 3.3 Essential Training,"Blender is a powerful open-source solution for 2D and 3D modeling, animation, compositing, and post-production. In this course, get a thorough overview of the updates, features, and enhancements in Blender 3.3, as well as practical production techniques that combine know-how with a healthy dose of how-to. Instructor David Andrade guides you through learning Blender in under an hour, then dives into specific techniques, such as modeling and sculpting a character, using textures and shading, creating animations, and using Blender to create visual effects and simulations. Learn about the recent connections Blender offers to the Unreal and Unity game engines. Plus, get performance-boosting tricks to render your creations even faster. Each lesson helps you gain the control and skill you need to create professional artwork for multiple platforms: games, movies, and animation.",Course,2023-06-16 08:58 UTC,N/A,true,N/A,
Principle for UX Design,"Principle for Mac is a Mac-based UX prototyping tool designed to bring your design ideas to life. In this course, join instructor Tom Green as he shows how to create interactive prototypes for smartphones, tablets, and desktop computers with Principle. The techniques go beyond static wireframes or blueprints; with Principle, your prototypes become more dynamic, with motion and interactivity. Along the way, learn how to import assets, crop and mask layers, and use the Principle timeline and drivers. The final chapter of the course includes examples of real-world prototyping projects, including a preloader animation, a card animation, a video player, and an Apple Watch alert.",Course,2026-01-13 07:04 UTC,N/A,false,N/A,
Data Storytelling Basics,"So, you think you’re a bonafide data expert—but do you have what it takes to turn your data into a story? Your datasets may be powerful. But they can be more compelling if you show what’s at stake. In this audio-only course—adapted from the <i>Free the Data Podcast</i>—Ben Sullins talks with CEO and best-selling author Cole Knaflic about how to tell stories with data visualizations to make a more effective, lasting connection with your audience.<br><br>Discover the power of storytelling to leverage natural human behaviors to your advantage as an analyst. Learn about the guiding principles of data visualization and what storytelling can do for your career. Explore what makes for a compelling story so you can go out and start telling your own. Cole shares tips and insights on choosing chart types, situating your project, and measuring efficacy as you go. By the end of this course, you’ll be ready to use your data to communicate your message more effectively through stories.<br><br>Note: This course was created by Ben Sullins of the <i>Free the Data Podcast</i>. We are pleased to host this content in our library.",Course,2022-12-08 13:59 UTC,N/A,false,N/A,
Nano Tips for Negotiating Your Salary with Sho Dewan,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover the secrets to navigating a successful salary negotiation, with key insights from Sho Dewan, the CEO and founder of Workhap and a LinkedIn Top Voice in Job Search and Careers.</p><p>Learn the essentials of talking about salary so you know what to say when it counts. Find out how to research salaries, work closely with recruiters, share your salary expectations, and consider your compensation package beyond just the numbers. Sho walks you through the three most important things to know before you even start the negotiation, with pointers on how to make a counteroffer that’s fair to you and competitive with the market. Along the way, Sho also tells what to say when you’re ready to ask for a raise.</p>",Course,2022-10-10 06:23 UTC,N/A,false,N/A,
Customizing Type: Creating Wordmarks That Work,"<p>Join design icon Aaron Draplin as he shares tried and true techniques for customizing type—an essential skill for graphic designers of all levels. Follow along as Aaron digs for antique typographic references and then creates several type treatments of his own to design merchandise for Portland, his beloved hometown. He teaches you to avoid default typeface settings and to take ownership of your design by managing the forms, in-between spaces, and relationships of the letters you're working with. Once you master customizing type, you'll have a powerful skill in your design toolkit for every branding, logo, and visual styling project that comes your way.
</p><P>
This course was created by Skillshare. We are pleased to host this training in our library.
</p>",Course,2025-11-21 13:55 UTC,N/A,true,N/A,
UX Research: Going Guerrilla,"The importance of user experience (UX) research is undeniable. Anyone wanting to create a compelling, easy-to-use digital product needs to examine what their users want and need. But what if you lack the time or resources to devote to full-blown UX research? In this course, join Amanda Stockwell as she dives into an efficient UX approach that’s perfect for such a situation: guerrilla research. Amanda covers the fundamentals of conducting UX research in a guerrilla fashion, explaining what this approach entails and when to opt for it. She goes over the basics of planning and running guerilla research sessions, as well as common pitfalls (and how to avoid them). Upon wrapping up this course, you’ll have the tools you need to help your UX team go guerrilla.",Course,2019-12-25 18:29 UTC,N/A,false,N/A,
UX Foundations: Multidevice Design,"Understanding how to design for multiple devices is now a required skill for UX designers. Modern users will want to access your website or app on a variety of different platforms. As a result, it's your job to ensure that your app performs elegantly and consistently from device to device: from phones and tablets to wearable tech. In this course, join instructor Diane Cronenwett as she explains how to create interfaces that work flawlessly on any platform. Diane shares how to plan your efforts before you even start your multidevice project, to ensure that you're prepared for success. She covers how to approach UX design for watches, TVs, and voice interfaces. Plus, she shares how to design a mobile experience in Figma, use different frameworks and guidelines for UX multidevice design projects, and more.",Course,2023-02-13 07:40 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2819030,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2819030,Course,2021-01-05 10:53 UTC,N/A,false,N/A,
Logo Trend Report 2019-2020,"The field of logo design is constantly in a state of flux, with new techniques and trends dominating the scene each year. If you want to keep your designs fresh, you need to keep in step with the industry. In this edition of the annual <i>Logo Trend Report</i>, Bill Gardner helps you get up to speed, covering over a dozen trends in-depth. As he dives into the origins of these trends, he introduces hundreds of the most current logos crafted by exceptional designers around the world. Learn the signs to watch for as you look for new and engaging symbolism, as well as techniques to keep your logo design skills keen and ahead of your peers. By following the techniques highlighted here, you’ll be able to stand on the shoulders of current trends and anticipate the trajectory of trends yet to come.",Course,2020-10-06 17:26 UTC,N/A,false,N/A,
After Effects CC 2021 Essential Training: VFX,"Learn how to create stunning visual effects with one of the most widely-used and highly-regarded compositing applications on the market—Adobe After Effects CC.  In this course, Alan Demafiles dives into the fundamentals you need to start creating mind-blowing visual effects (VFX) with After Effects. Discover how to build accurate masks and keys, use rotoscoping to separate foreground from background, perform motion and camera tracking, and add your own 3D elements to a scene. Learn how to use effects such as particles and noise to create fire, replace the sky, and more. Then dive into the world of virtual reality as Alan explores the application's immersive VR and 360-degree video features. In the final project-based chapter, you can reinforce your new skills by putting techniques into practice with a real-world challenge.",Course,2021-05-21 12:06 UTC,N/A,false,N/A,
CSS Essential Training (2023),"Cascading Style Sheets (CSS) is a stylesheet language that allows you to control the appearance of your webpages. In this hands-on course, instructor Christina Truong demonstrates the concepts that form the foundation of CSS, explaining what you need to know to tweak existing CSS and start writing your own with ease. Christina explains how to add colors and other design elements to take your webpages beyond just black text on a white background. She shows how to use selectors, how the box model defines the spacing and sizing of page elements, and how to style text and manage basic layouts with Flexbox and Grid. Learn the basics of working with typography, creating fluid and responsive layouts, and determining when to use the float and position properties. Along the way, test out your know-how with real-world projects that let you practice applying new content and skills.",Course,2026-03-17 09:23 UTC,N/A,false,N/A,
Designing Presentations with Figma Slides,"Figma Slides gives you the power to create compelling slides and presentations to meet the needs of any occasion. In this course, instructor Joseph Labrecque covers the basics of Figma Slides and how they're created, managed, customized, and modified. Learn how to share and collaborate on presentations and slide decks, as well as design and publish a preexisting template. By the end of this course, you’ll be equipped with skills required to leverage the unique benefits of Figma Slides for professionals.",Course,2026-01-15 10:46 UTC,N/A,false,N/A,
SketchUp Pro: Interior Design Detailing,"If you have any experience with SketchUp, you know how effective a tool it is in bringing your designs to life. In this course, interior design expert Rebecca Terpstra teaches you how to create an interior design in SketchUp Pro from a basic floor plan, build it up three-dimensionally, populate the space with furniture and fixtures, and create the documentation needed to deliver it to a client or contractor. Rebecca also illustrates the versatility of SketchUp Pro, first working with an imported .dwg drawing file from AutoCAD, then showing how to import a hand-drawn floor plan and work with it in SketchUp. As with many design programs, diving into a project is one of the best ways to learn, and Rebecca provides custom-made exercise files to guide you through the tutorials. After this course, you’ll have a better understanding of what SketchUp Pro has to offer designers, as well as clients.",Course,2022-07-05 18:19 UTC,N/A,false,N/A,
Interaction Design: Structure,"Before UX designers can move on to anything else, they must think holistically about the structure of their project, determining how every element—no matter how small—fits into the overall experience. In this course, Diane Cronenwett delves into the role of structure in interaction design. Diane explains how the process of defining a project's structure helps designers see the big picture (and organize project elements in a more thoughtful way). She goes over when to use flow diagrams in UX design projects, as well as how to create information architecture deliverables. Plus, learn how to design page-level structure, organize projects with a grid, determine the right interface elements needed put everything together, and more.",Course,2020-12-15 10:44 UTC,N/A,false,N/A,
AI Workshop: Text-to-Image Generation,"With the hype and concerns around AI generated images, it’s good to build an understanding of how these images actually work. In this course, Jonathan Fernandes—an expert in Generative AI and Large Language Models—breaks down the components of text-to-image generation: text encoders, a neural network, and an autoencoder. Jonathan explains how to fine-tune models based on their own dataset and compares different popular models. He also compares various models and helps you understand the benchmarks for performance, as well as potential bias, limitations, and controversies.",Course,2025-02-24 13:26 UTC,N/A,true,N/A,
Introduction to IT Asset Management (ITAM),"In this course, learn the basics of IT asset management (ITAM). Instructor Stephen Rose starts with an overview of ITAM, explaining the roles and responsibilities of an IT asset manager—and why the role is important. Next, he covers the asset lifecycle, from acquisition to inventory to disposal of your assets. Learn ITAM tools and best practices, and see real-world examples of asset management execution. Plus, find out about the path ISO 9000 certification—including due diligence, gap analysis, and continual improvement—to ensure compliance and quality management in procurement.This session can also be used as test prep for the ITAM Certification.",Course,2024-09-16 05:40 UTC,N/A,false,N/A,
Using AI for UX Design and Research,"Artificial intelligence is rapidly changing many industries, and UX research and design are no exception. But with the slew of new technologies popping up seemingly every day, leveraging and incorporating AI can be an overwhelming prospect. In this course, Shanae explores the many ways in which UX designers and researchers can leverage AI in their workflows. Shanae describes common misconceptions about AI and offers tips on how you can leverage AI while also advocating for improvements in ethics and inclusive design.  She goes over AI concepts and prompting basics, gives an overview of the most critical tools for UX research, design, and copywriting, and covers AI policies and ethical risks for UX professionals. She also shows you how to create a UX-specific AI code of conduct, and details some ethical and inclusive practices for UX professional using AI tools and workflows.",Course,2024-09-02 16:26 UTC,N/A,true,N/A,
Agile User Experience Design and Research,"In this course, learn how UX design and research can fit smoothly into agile workflows and frameworks. Instructor Eric Nordquist goes over the fundamentals of agile, the different frameworks used to deliver agile, and reviews some proven strategies for how UX professionals can be successful in an agile environment. Learn: what agile is and how it benefits technical teams; the tenets of agile development; user experience design in an agile environment; user experience research in an agile environment; and agile frameworks like kanban and scrum, and how UX fits within them.",Course,2023-12-27 14:18 UTC,N/A,false,N/A,
Hugging Face Transformers: Introduction to Pretrained Models,"<p>Looking to expand your skill set in deep learning? Find out how to use Hugging Face transformers to build natural language processing (NLP) applications. In this course, instructor Kumaran Ponnambalam shows you how to build models quickly and easily using pretrained transformers from the Hugging Face library.</p><P>
Explore models designed for common NLP use cases such as question-answering, text summarization, text generation, translation, and more. Kumaran gives you tips for customizing models with transfer learning to meet the needs of specific use cases—improving your performance and lowering your costs along the way. Develop your know-how to identify and overcome common modeling challenges to ensure successful, error-free deployments. Take this course to ensure that you’re adhering to best practices and industry standards when you start applying your new skills on the job.
</p>",Course,2026-01-28 20:41 UTC,N/A,true,N/A,
Design Canada,"What defines a national identity? Is it an anthem, a flag, a logo, or an icon? How do these elements shape who we are? In the 1960s and 70s, these questions were answered by an innovative group of Canadian designers, who used design to unify the nation. <i>Design Canada</i> is the first documentary chronicling the history of Canadian graphic design and how it shaped a nation and its people. Review the history of the iconic maple leaf, find out how events such as Expo 67 Montréal and the 1976 Olympic Games impacted design, and discover where today's most influential designer think the future of Canadian design lies.<br><br>Notable designers featured in this course include Julien Hebért, Buckminster Fuller, Moshe Safdie, Burton Kramer, George Clutesi, Stuart Ash, Fritz Gottschalk, Hans Kleefeld, Don Watt, James Valkus, Lorne Perry, Allan Fleming, Jim Donahue, Douglas Coupland, Massimo Vignelli, Alan Eagleson, Terry O’Malley, John Lloyd, Pierre-Yves Pelletier, George Huel, Pierre Trudeau, Heather Cooper, Theo Dimson, and Marian Bantjes. <br><br>Note: This film was created by Gary Hustwit. We are pleased to offer this documentary in our library.",Course,2022-09-28 20:56 UTC,N/A,false,N/A,
"Hands-On Generative AI: Applying Your Tabular Data With ChatGPT, GPT-4, and LangChain","In this course, get hands-on experience with generative AI and natural language processing, and discover how openAI models work with tabular data. Join instructor Alina Zhang to learn how to leverage ChatGPT, GPT-4, and LangChain to perform advanced NLP tasks like summarization, entity detection, semantic analysis, and question answering. Learn to apply large language models on tabular data such as pandas DataFrames and CSV files. This course is your gateway to talk to your own data with generative AI solutions.",Course,2024-08-28 11:39 UTC,N/A,true,N/A,
Claude Code 4: Agentic Coding for Professional Developers,"Claude Code transforms the developer workflow with agentic AI built to understand and manipulate entire codebases. It performs real-time actions like refactoring, debugging, and generating commits using natural language. Skip the script juggling and documentation diving. Designed for serious developers, Claude Code eliminates friction and unlocks a smarter way to build software.",Course,N/A,N/A,true,N/A,
Business Analysis Foundations,"<p>One of the main reasons given for unsuccessful project results is the lack of clear understanding of stakeholder requirements. Business analysis helps to prevent project failure by identifying and validating those requirements early on. Of course, business analysis doesn’t stop with requirements—business analysts also recommend solutions and facilitate their execution. This course provides an introduction to the foundations of business analysis. It helps demystify the role of the business analyst (BA), and outlines the knowledge and skills required to build a successful BA career. Instructor Greta Blash also provides an in-depth review of the business analysis process, from conducting a needs assessment and identifying stakeholders to testing, validation, and release. Each lesson demonstrates why business analysis works—and how you can use it to improve your organization. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-business-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,2024-09-05 19:21 UTC,N/A,false,N/A,
Surveys and Questionnaires for UX Projects,"Surveys are one of the most frequently used—and abused—methods of getting information from a group of people. Done well, they are illuminating. Done poorly, they are almost useless. If you are conducting marketing or usability research, or just trying to learn more about your customers, you should know how to conduct an effective survey or questionnaire. In this course, Chris Nodder provides tips and techniques to do surveys right. Discover how to define your goals and write questions that produce clear and unambiguous answers. Chris then explains how to recruit candidates for the survey, reward them for their time, deliver the survey, and manage responses. Finally, find out how to analyze and report on your findings, so your UX team can take action on the results.",Course,2021-02-02 08:34 UTC,N/A,false,N/A,
How to Train Your Brain For Happiness,"Train your brain for happiness! In this course, happiness professor Jay Kumar, PhD shares insights, exercises, and techniques from cutting-edge research in brain science and behavior. The series investigates the concept of happiness and introduces scientific ways of increasing happiness in your life. You can learn how to unlock the brain’s ability to build social connections and trust among teams, coworkers, customers, and other stakeholders; identify opportunities for creating deeper, more meaningful relationships; and leverage four fundamental strategies to help you promote happiness in the workplace and impact the bottom line. Plus, learn how to build enthusiasm about your company, products, and services and create passionate members of your brand or company tribe. Anyone interested in using happiness to reach their full potential in work and life—including business leaders, HR managers, and marketers—should take this course to increase their happiness quotient.<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2021-06-28 08:37 UTC,N/A,false,N/A,
How to Be Both Assertive and Likable,"<p>Managing the inherent tension between the friendliness that encourages rapport and the assertiveness that is required to be effective can be tricky. In this course, adapted from the American Negotiation Institute podcast <em>Negotiate Anything</em>, Kwame Christian discusses with Hamilton Chan how to build rapport, stand your ground, and manage the flow of information. Hamilton is the head of executive education and visiting professor of business and technology at Loyola Law School, Los Angeles and CEO of Coaching for Startups LLC. He explains why rapport is so powerful and provides tips to stay strong at the negotiation table. Plus, learn why it’s so important to understand your options before you start difficult conversations. </p><p>This course was created by the American Negotiation Institute. We are pleased to offer this training in our library. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/negotiation-professional-certificate-by-american-negotiation-institute"" target=""_blank"">Professional Certificate</a> from American Negotiation Institute.</p>",Course,2023-06-13 08:28 UTC,N/A,false,N/A,
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2020-12-29 15:11 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2817234,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2817234,Course,2020-02-07 10:01 UTC,N/A,false,N/A,
